FAC,HospitalName_FromFileName,DateModified,HospitalName_Detected,StrategicPlanDate,Level1_Objective,Level2_Objective,Level3_Objective,LevelsCount,HierarchyMethod
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Your Care Experience,Ensure patients & residents experience high-quality compassionate care,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Your Care Experience,Coordinate seamless care within and amongst our facilities,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Your Care Experience,Continue care experience improvement through implementation of clinical services plan,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Great People,Empower people to provide excellent personalized and innovative care,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Great People,Ensure a strong and sustainable team of health professionals,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Great People,Be the place people choose to work,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Partners in Care,Reimagine and engage in partnerships that strengthen the network of care,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Partners in Care,Better serve community mental health and post hospital care needs with our partners,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Partners in Care,Work with Ontario Health Team partners to advance community health priorities and interests,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Places & Spaces,Develop a vision for redevelopment of Carleton Place hospital facility,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Places & Spaces,Integrate information financial and EMR systems,nf,2,text-based
626,MRHA_CARLETON_PLACE_DISTRICT,nf,Mississippi River Health Alliance,2023-2025,Our Places & Spaces,Function seamlessly together,nf,2,text-based
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Exceptional Care,Reduce wait times for patients especially for Emergency Department and Diagnostic Imaging services,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Exceptional Care,Advocate for more acute care and surgical services to provide immediate and comprehensive care for a variety of medical emergencies and illnesses that cannot be managed by primary or community care,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Exceptional Care,Advance clinical excellence with quality improvement tools,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Exceptional Care,Create a digital health/digital transformation strategy that helps expand the use of novel technologies,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Exceptional Care,Closely manage patient access flow and capacity for optimal service outcomes,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Exceptional Care,Review outpatient services,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Trusted Relationships,Foster pride in the hospital's family feel and strengthen a culture of empathy inclusivity and authenticity,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Trusted Relationships,Invest in performance management systems that support our people in alignment with hospital goals,nf,3,analytic
592,NAPANEE_LENNOX_ADDINGTON,nf,Lennox & Addington County General Hospital,2025-2028,Trusted Relationships,Use our brand identity and workplace culture to refresh marketing efforts and attract talent,nf,3,analytic
