FAC,FileHospitalName,DateModified,DocumentHospitalName,StrategicPlanDate,LevelsCount,HierarchyMethod,L1Objective,L2Objective,L3Objective
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Exceptional Care,"Reduce wait times for patients, especially for Emergency Department and Diagnostic Imaging services.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Exceptional Care,Advocate for more acute care and surgical services to provide immediate and comprehensive care for a variety of medical emergencies and illnesses that cannot be managed by primary or community care.,nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Exceptional Care,"Implement a comprehensive workforce development program to help effectively manage health human resources — recruitment, retention, development, succession, diversity and active growth in staff size.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Exceptional Care,"Advance health equity with Indigenous, economically disadvantaged, and vulnerable senior communities.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Exceptional Care,"Supporting team-based primary care (“Health Homes”) across Lennox & Addington County by fostering strong interprofessional collaborations, providing access to specialized resources and expertise, and ensuring seamless communication with clear protocols for referrals and transitions of care.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Exceptional Care,"Explore expansion of supportive living – an integrated model of housing and support services that enables individuals, including seniors and people with disabilities, to live independently while receiving assistance with daily activities.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Trusted Relationships,"Reduce wait times for patients, especially for Emergency Department and Diagnostic Imaging services.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Trusted Relationships,Advocate for more acute care and surgical services to provide immediate and comprehensive care for a variety of medical emergencies and illnesses that cannot be managed by primary or community care.,nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Trusted Relationships,"Implement a comprehensive workforce development program to help effectively manage health human resources — recruitment, retention, development, succession, diversity and active growth in staff size.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Trusted Relationships,"Advance health equity with Indigenous, economically disadvantaged, and vulnerable senior communities.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Trusted Relationships,"Supporting team-based primary care (“Health Homes”) across Lennox & Addington County by fostering strong interprofessional collaborations, providing access to specialized resources and expertise, and ensuring seamless communication with clear protocols for referrals and transitions of care.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Trusted Relationships,"Explore expansion of supportive living – an integrated model of housing and support services that enables individuals, including seniors and people with disabilities, to live independently while receiving assistance with daily activities.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Relentless Communication,"Reduce wait times for patients, especially for Emergency Department and Diagnostic Imaging services.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Relentless Communication,Advocate for more acute care and surgical services to provide immediate and comprehensive care for a variety of medical emergencies and illnesses that cannot be managed by primary or community care.,nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Relentless Communication,"Implement a comprehensive workforce development program to help effectively manage health human resources — recruitment, retention, development, succession, diversity and active growth in staff size.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Relentless Communication,"Advance health equity with Indigenous, economically disadvantaged, and vulnerable senior communities.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Relentless Communication,"Supporting team-based primary care (“Health Homes”) across Lennox & Addington County by fostering strong interprofessional collaborations, providing access to specialized resources and expertise, and ensuring seamless communication with clear protocols for referrals and transitions of care.",nf
592,NAPANEE_LENNOX_ADDINGTON,2025-12-02,Lennox and Addington County General Hospital (LACGH),2025-2028,2,2-analytic (proximity; commitments and priority objectives listed separately),Relentless Communication,"Explore expansion of supportive living – an integrated model of housing and support services that enables individuals, including seniors and people with disabilities, to live independently while receiving assistance with daily activities.",nf
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,2025-12-02,Middlesex Hospital Alliance,2024-nf,1,1-text-based,Advance the Clinical Strategy,nf,nf
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,2025-12-02,Middlesex Hospital Alliance,2024-nf,1,1-text-based,"Engage, Support and inspire our people",nf,nf
593,Middlesex_Hospital_Alliance_NEWBURY_FOUR_COUNTIES_HEALTH_SERV,2025-12-02,Middlesex Hospital Alliance,2024-nf,1,1-text-based,Build New Ways,nf,nf
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,PEOPLE,"Creating a work environment that values and recognizes the contribution of every staff member in creating a positive patient care experience; creating and upholding a culture of continuous learning, focused on collaboration and teamwork.",nf
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,CARE,Keeping the patient at the center of every care discussion and decision; ensuring that patient values inform every aspect of delivery.,nf
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,PARTNERSHIPS,Working collaboratively with local and community health care providers to continue to develop our care network and availability to offer a seamless care experience for our patients.,nf
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,INVESTMENTS,"Operating appropriately within fiscal constraints to maximize investments in staff, equipment, infrastructure and improvement to provide high quality care for present and future patients.",nf
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,Strategic Priorities (apply to each pillar),"Achieve our pillars by continuing to seek out and utilize innovative approaches, from cutting edge equipment to finding new ways to anticipate and meet our patients’ needs, working closely with our staff to utilize every dollar available to offer excellent care, and developing new partnerships to build strong community coalitions.",nf
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,Strategic Priorities (apply to each pillar),"Collaborate with our staff, our peers, our local community, Ministry and Ontario Health Team to create the highest quality comprehensive care options for everyone in our community.",nf
596,Alliston_Stevenson_Memorial_Hospital,2025-12-02,Stevenson Memorial Hospital,2023-2028,2,2-text-based,Strategic Priorities (apply to each pillar),"Create communication channels to keep our patients, families, staff and local community informed about the direction at SMH, what is happening and where we are going.",nf
